# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.204544057598e-01       1.574920727407e+03 
       2.236840583224e-01       1.523462122792e+03 
       2.269137127927e-01       1.476727659729e+03 
       2.301433690899e-01       1.434905086724e+03 
       2.333730271376e-01       1.397878605362e+03 
       2.366026868636e-01       1.365233192014e+03 
       2.398323481997e-01       1.336316236556e+03 
       2.430620110812e-01       1.310296996201e+03 
       2.462916754470e-01       1.286258566257e+03 
       2.495213412390e-01       1.263293284387e+03 
       2.527510084022e-01       1.240590089646e+03 
       2.559806768845e-01       1.217498992716e+03 
       2.592103466361e-01       1.193572215334e+03 
       2.624400176100e-01       1.168573165400e+03 
       2.656696897614e-01       1.142465720858e+03 
       2.688993630474e-01       1.115397364109e+03 
       2.721290374275e-01       1.087665893409e+03 
       2.753587128630e-01       1.059664158229e+03 
       2.785883893169e-01       1.031868386298e+03 
       2.818180667541e-01       1.004747103622e+03 
       2.850477451408e-01       9.787336527019e+02 
       2.882774244452e-01       9.541603948639e+02 
       2.915071046363e-01       9.312477043155e+02 
       2.947367856851e-01       9.100748540296e+02 
       2.979664675633e-01       8.906051811374e+02 
       3.011961502443e-01       8.727001397601e+02 
       3.044258337022e-01       8.561500360007e+02 
       3.076555179126e-01       8.407026791385e+02 
       3.108852028518e-01       8.260869154870e+02 
       3.141148884972e-01       8.120276053634e+02 
       3.173445748272e-01       7.982682935700e+02 
       3.205742618210e-01       7.845859098674e+02 
       3.238039494587e-01       7.708130084992e+02 
       3.270336377209e-01       7.568410665956e+02 
       3.302633265894e-01       7.426411326077e+02 
       3.334930160465e-01       7.282455292699e+02 
       3.367227060750e-01       7.137394362079e+02 
       3.399523966587e-01       6.992456450297e+02 
       3.431820877818e-01       6.848991741050e+02 
       3.464117794292e-01       6.708295795563e+02 
       3.496414715862e-01       6.571583266362e+02 
       3.528711642389e-01       6.439845045062e+02 
       3.561008573735e-01       6.313832391969e+02 
       3.593305509772e-01       6.194030189197e+02 
       3.625602450373e-01       6.080554143700e+02 
       3.657899395417e-01       5.973201104686e+02 
       3.690196344786e-01       5.871433220109e+02 
       3.722493298367e-01       5.774437581354e+02 
       3.754790256052e-01       5.681298482872e+02 
       3.787087217734e-01       5.591031271429e+02 
       3.819384183313e-01       5.502804855699e+02 
       3.851681152689e-01       5.415922773112e+02 
       3.883978125767e-01       5.329874102216e+02 
       3.916275102456e-01       5.244331788563e+02 
       3.948572082667e-01       5.159123682171e+02 
       3.980869066313e-01       5.074218658020e+02 
       4.013166053311e-01       4.989714853753e+02 
       4.045463043581e-01       4.905845765814e+02 
       4.077760037044e-01       4.822940184031e+02 
       4.110057033626e-01       4.741392952064e+02 
       4.142354033252e-01       4.661596626675e+02 
       4.174651035852e-01       4.583888363066e+02 
       4.206948041356e-01       4.508461567503e+02 
       4.239245049700e-01       4.435465119005e+02 
       4.271542060817e-01       4.364901120040e+02 
       4.303839074645e-01       4.296692582191e+02 
       4.336136091123e-01       4.230781109741e+02 
       4.368433110193e-01       4.166997919608e+02 
       4.400730131797e-01       4.105205971622e+02 
       4.433027155879e-01       4.045163074114e+02 
       4.465324182386e-01       3.986642995091e+02 
       4.497621211265e-01       3.929369206820e+02 
       4.529918242465e-01       3.873102015907e+02 
       4.562215275937e-01       3.817633143756e+02 
       4.594512311632e-01       3.762811282054e+02 
       4.626809349504e-01       3.708623035083e+02 
       4.659106389508e-01       3.655020636375e+02 
       4.691403431598e-01       3.602063313322e+02 
       4.723700475734e-01       3.549787779296e+02 
       4.755997521871e-01       3.498272346192e+02 
       4.788294569971e-01       3.447582545946e+02 
       4.820591619993e-01       3.397794274197e+02 
       4.852888671899e-01       3.349040597612e+02 
       4.885185725651e-01       3.301386732579e+02 
       4.917482781212e-01       3.254935468647e+02 
       4.949779838548e-01       3.209718305470e+02 
       4.982076897624e-01       3.165712207308e+02 
       5.014373958406e-01       3.122860049715e+02 
       5.046671020861e-01       3.081038785454e+02 
       5.078968084957e-01       3.040171200215e+02 
       5.111265150662e-01       3.000159186036e+02 
       5.143562217947e-01       2.960923309881e+02 
       5.175859286782e-01       2.922402788941e+02 
       5.208156357138e-01       2.884521085190e+02 
       5.240453428986e-01       2.847211525202e+02 
       5.272750502300e-01       2.810416371569e+02 
       5.305047577052e-01       2.774118533859e+02 
       5.337344653216e-01       2.738289774014e+02 
       5.369641730766e-01       2.702944850570e+02 
       5.401938809678e-01       2.668150384274e+02 
       5.434235889928e-01       2.633924343716e+02 
       5.466532971491e-01       2.600304012375e+02 
       5.498830054344e-01       2.567302167590e+02 
       5.531127138464e-01       2.534923441954e+02 
       5.563424223831e-01       2.503158534035e+02 
       5.595721310421e-01       2.472002341913e+02 
       5.628018398213e-01       2.441436215386e+02 
       5.660315487188e-01       2.411475899844e+02 
       5.692612577325e-01       2.382107384662e+02 
       5.724909668604e-01       2.353314744647e+02 
       5.757206761006e-01       2.325066227032e+02 
       5.789503854511e-01       2.297319385313e+02 
       5.821800949103e-01       2.270032156848e+02 
       5.854098044762e-01       2.243176494329e+02 
       5.886395141471e-01       2.216735663383e+02 
       5.918692239213e-01       2.190697994741e+02 
       5.950989337970e-01       2.165061189838e+02 
       5.983286437727e-01       2.139815842299e+02 
       6.015583538468e-01       2.114949396397e+02 
       6.047880640175e-01       2.090453831640e+02 
       6.080177742835e-01       2.066307038164e+02 
       6.112474846432e-01       2.042511715034e+02 
       6.144771950950e-01       2.019070407335e+02 
       6.177069056377e-01       1.995997319823e+02 
       6.209366162696e-01       1.973320417161e+02 
       6.241663269895e-01       1.951028560811e+02 
       6.273960377960e-01       1.929120276349e+02 
       6.306257486877e-01       1.907583473221e+02 
       6.338554596634e-01       1.886386619433e+02 
       6.370851707218e-01       1.865538714088e+02 
       6.403148818615e-01       1.845014132586e+02 
       6.435445930815e-01       1.824820621799e+02 
       6.467743043804e-01       1.804955336142e+02 
       6.500040157571e-01       1.785401046703e+02 
       6.532337272104e-01       1.766150177350e+02 
       6.564634387393e-01       1.747178870381e+02 
       6.596931503426e-01       1.728474617429e+02 
