# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.554532293169e-01       1.219047645302e+03 
       2.586783261473e-01       1.195178138594e+03 
       2.619034242040e-01       1.170236526057e+03 
       2.651285234420e-01       1.144178318518e+03 
       2.683536238185e-01       1.117140625165e+03 
       2.715787252927e-01       1.089408633948e+03 
       2.748038278256e-01       1.061388718852e+03 
       2.780289313803e-01       1.033541420903e+03 
       2.812540359214e-01       1.006346107304e+03 
       2.844791414152e-01       9.802345289499e+02 
       2.877042478293e-01       9.555574879545e+02 
       2.909293551332e-01       9.325303330557e+02 
       2.941544632973e-01       9.112501331349e+02 
       2.973795722935e-01       8.916815246350e+02 
       3.006046820948e-01       8.736919844930e+02 
       3.038297926756e-01       8.570725069248e+02 
       3.070549040111e-01       8.415734799389e+02 
       3.102800160776e-01       8.269234405509e+02 
       3.135051288525e-01       8.128455359367e+02 
       3.167302423140e-01       7.990806612494e+02 
       3.199553564413e-01       7.854037899636e+02 
       3.231804712144e-01       7.716400630196e+02 
       3.264055866139e-01       7.576806770120e+02 
       3.296307026215e-01       7.434899410360e+02 
       3.328558192193e-01       7.290982544727e+02 
       3.360809363903e-01       7.145894710744e+02 
       3.393060541181e-01       7.000838582075e+02 
       3.425311723868e-01       6.857166107631e+02 
       3.457562911813e-01       6.716220082657e+02 
       3.489814104869e-01       6.579158841399e+02 
       3.522065302895e-01       6.447037930112e+02 
       3.554316505756e-01       6.320637086001e+02 
       3.586567713319e-01       6.200423690431e+02 
       3.618818925460e-01       6.086565560474e+02 
       3.651070142055e-01       5.978864352574e+02 
       3.683321362988e-01       5.876793105312e+02 
       3.715572588145e-01       5.779564858222e+02 
       3.747823817417e-01       5.686218806407e+02 
       3.780075050698e-01       5.595842960590e+02 
       3.812326287885e-01       5.507544370177e+02 
       3.844577528880e-01       5.420609170212e+02 
       3.876828773588e-01       5.334534951744e+02 
       3.909080021916e-01       5.248974782017e+02 
       3.941331273774e-01       5.163741055622e+02 
       3.973582529078e-01       5.078808449222e+02 
